"","GEOID","Tract","County","State","FDep","SDI","ReADI","SVI","NA_ADI","NSS7"
"29","01003010710","Census Tract 107.10"," Baldwin County"," Alabama",28,32,36,35,44,26
"30","01003010711","Census Tract 107.11"," Baldwin County"," Alabama",42,30,32,21,62,15
"31","01003010800","Census Tract 108"," Baldwin County"," Alabama",39,38,43,58,26,25
"32","01003010903","Census Tract 109.03"," Baldwin County"," Alabama",45,57,56,52,59,59
"33","01003010904","Census Tract 109.04"," Baldwin County"," Alabama",70,39,66,32,61,42
"34","01003010906","Census Tract 109.06"," Baldwin County"," Alabama",74,61,78,73,78,60
"35","01003010907","Census Tract 109.07"," Baldwin County"," Alabama",24,29,37,23,48,27
"36","01003010908","Census Tract 109.08"," Baldwin County"," Alabama",34,46,49,46,57,30
"37","01003011000","Census Tract 110"," Baldwin County"," Alabama",84,73,80,74,70,75
"38","01003011102","Census Tract 111.02"," Baldwin County"," Alabama",27,23,36,16,32,25
"39","01003011103","Census Tract 111.03"," Baldwin County"," Alabama",20,22,45,13,46,24
"40","01003011104","Census Tract 111.04"," Baldwin County"," Alabama",32,42,41,50,43,37
"41","01003011201","Census Tract 112.01"," Baldwin County"," Alabama",21,21,29,20,29,16
"42","01003011202","Census Tract 112.02"," Baldwin County"," Alabama",33,45,33,49,20,36
"43","01003011300","Census Tract 113"," Baldwin County"," Alabama",31,35,38,14,29,18
"44","01003011409","Census Tract 114.09"," Baldwin County"," Alabama",58,41,47,25,47,35
"45","01003011410","Census Tract 114.10"," Baldwin County"," Alabama",58,42,59,38,56,36
"46","01003011411","Census Tract 114.11"," Baldwin County"," Alabama",69,55,74,53,59,59
"47","01003011412","Census Tract 114.12"," Baldwin County"," Alabama",29,22,42,52,47,52
"48","01003011413","Census Tract 114.13"," Baldwin County"," Alabama",50,33,42,45,36,25
"49","01003011414","Census Tract 114.14"," Baldwin County"," Alabama",32,10,23,21,25,18
"50","01003011415","Census Tract 114.15"," Baldwin County"," Alabama",10,1,10,3,9,2
"51","01003011416","Census Tract 114.16"," Baldwin County"," Alabama",24,19,35,10,39,14
"52","01003011417","Census Tract 114.17"," Baldwin County"," Alabama",20,15,20,15,33,2
"53","01003011418","Census Tract 114.18"," Baldwin County"," Alabama",57,36,50,27,50,29
"54","01003011419","Census Tract 114.19"," Baldwin County"," Alabama",39,38,50,44,40,29
"55","01003011501","Census Tract 115.01"," Baldwin County"," Alabama",67,35,62,72,58,45
"56","01003011503","Census Tract 115.03"," Baldwin County"," Alabama",56,62,64,67,61,55
"57","01003011504","Census Tract 115.04"," Baldwin County"," Alabama",64,36,45,63,51,34
"58","01003011601","Census Tract 116.01"," Baldwin County"," Alabama",64,54,66,58,60,54
"59","01003011603","Census Tract 116.03"," Baldwin County"," Alabama",56,29,64,35,69,34
"60","01003011604","Census Tract 116.04"," Baldwin County"," Alabama",51,27,53,19,73,27
"61","01005950100","Census Tract 9501"," Barbour County"," Alabama",82,58,77,79,84,78
"62","01005950200","Census Tract 9502"," Barbour County"," Alabama",86,80,92,77,94,77
"63","01005950300","Census Tract 9503"," Barbour County"," Alabama",86,76,93,63,94,69
"64","01005950400","Census Tract 9504"," Barbour County"," Alabama",94,91,95,85,98,88
"65","01005950500","Census Tract 9505"," Barbour County"," Alabama",81,66,81,74,95,68
"66","01005950600","Census Tract 9506"," Barbour County"," Alabama",81,91,89,84,92,87
"67","01005950700","Census Tract 9507"," Barbour County"," Alabama",69,85,81,78,84,84
"68","01005950800","Census Tract 9508"," Barbour County"," Alabama",82,87,91,91,86,82
"69","01005950900","Census Tract 9509"," Barbour County"," Alabama",85,98,94,92,84,93
"70","01007010001","Census Tract 100.01"," Bibb County"," Alabama",88,83,91,67,95,70
"71","01007010005","Census Tract 100.05"," Bibb County"," Alabama",89,62,74,70,75,80
"72","01007010006","Census Tract 100.06"," Bibb County"," Alabama",86,72,81,67,69,71
"73","01007010007","Census Tract 100.07"," Bibb County"," Alabama",89,40,82,34,92,67
"74","01007010008","Census Tract 100.08"," Bibb County"," Alabama",76,44,71,29,84,58
"75","01007010009","Census Tract 100.09"," Bibb County"," Alabama",97,92,98,80,93,95
"76","01007010010","Census Tract 100.10"," Bibb County"," Alabama",80,82,89,76,73,82
"77","01007010011","Census Tract 100.11"," Bibb County"," Alabama",69,70,83,62,83,63
"78","01009050103","Census Tract 501.03"," Blount County"," Alabama",88,60,85,65,74,70
"79","01009050104","Census Tract 501.04"," Blount County"," Alabama",78,43,55,51,75,54
"80","01009050105","Census Tract 501.05"," Blount County"," Alabama",84,74,81,80,68,65
"81","01009050106","Census Tract 501.06"," Blount County"," Alabama",86,90,87,94,85,92
"82","01009050107","Census Tract 501.07"," Blount County"," Alabama",80,66,82,49,82,51
"83","01009050200","Census Tract 502"," Blount County"," Alabama",80,54,72,69,81,58
"84","01009050301","Census Tract 503.01"," Blount County"," Alabama",79,62,76,52,74,60
"85","01009050302","Census Tract 503.02"," Blount County"," Alabama",93,69,85,80,85,74
"86","01009050400","Census Tract 504"," Blount County"," Alabama",74,51,66,35,84,63
"87","01009050501","Census Tract 505.01"," Blount County"," Alabama",67,67,73,51,82,53
"88","01009050502","Census Tract 505.02"," Blount County"," Alabama",83,59,75,58,68,63
"89","01009050601","Census Tract 506.01"," Blount County"," Alabama",63,48,57,46,77,54
"90","01009050603","Census Tract 506.03"," Blount County"," Alabama",37,29,38,13,55,27
"91","01009050604","Census Tract 506.04"," Blount County"," Alabama",67,49,63,52,62,59
"92","01009050701","Census Tract 507.01"," Blount County"," Alabama",77,54,72,58,75,63
"93","01009050702","Census Tract 507.02"," Blount County"," Alabama",76,65,82,47,88,72
"94","01011952100","Census Tract 9521"," Bullock County"," Alabama",84,62,93,75,92,82
"95","01011952201","Census Tract 9522.01"," Bullock County"," Alabama",95,88,97,82,95,89
"96","01011952202","Census Tract 9522.02"," Bullock County"," Alabama",95,93,100,94,98,96
"97","01011952500","Census Tract 9525"," Bullock County"," Alabama",85,66,79,53,91,70
"98","01013952700","Census Tract 9527"," Butler County"," Alabama",78,80,83,79,83,71
"99","01013952800","Census Tract 9528"," Butler County"," Alabama",58,36,54,17,77,50
"100","01013952900","Census Tract 9529"," Butler County"," Alabama",84,73,81,73,87,75
"101","01013953000","Census Tract 9530"," Butler County"," Alabama",64,53,84,39,94,49
"102","01013953100","Census Tract 9531"," Butler County"," Alabama",83,89,94,85,98,82
"103","01013953200","Census Tract 9532"," Butler County"," Alabama",66,57,74,49,88,52
"104","01013953300","Census Tract 9533"," Butler County"," Alabama",81,63,83,64,93,73
"105","01013953400","Census Tract 9534"," Butler County"," Alabama",83,69,89,81,95,81
"106","01013953500","Census Tract 9535"," Butler County"," Alabama",72,48,80,35,92,46
"107","01015000200","Census Tract 2"," Calhoun County"," Alabama",85,72,87,73,98,68
"108","01015000300","Census Tract 3"," Calhoun County"," Alabama",93,92,98,85,100,93
"109","01015000400","Census Tract 4"," Calhoun County"," Alabama",95,91,96,95,96,91
"110","01015000500","Census Tract 5"," Calhoun County"," Alabama",99,85,99,71,100,97
"111","01015000600","Census Tract 6"," Calhoun County"," Alabama",89,97,99,94,98,97
"112","01015000700","Census Tract 7"," Calhoun County"," Alabama",87,92,91,92,82,86
"113","01015000800","Census Tract 8"," Calhoun County"," Alabama",96,94,97,94,78,93
"114","01015000900","Census Tract 9"," Calhoun County"," Alabama",40,24,36,43,52,30
"115","01015001000","Census Tract 10"," Calhoun County"," Alabama",39,50,41,31,64,44
"116","01015001101","Census Tract 11.01"," Calhoun County"," Alabama",33,33,39,15,43,28
"117","01015001102","Census Tract 11.02"," Calhoun County"," Alabama",95,77,95,70,97,90
"118","01015001103","Census Tract 11.03"," Calhoun County"," Alabama",70,61,66,86,76,65
"119","01015001201","Census Tract 12.01"," Calhoun County"," Alabama",88,69,81,78,81,75
"120","01015001202","Census Tract 12.02"," Calhoun County"," Alabama",72,78,83,64,78,68
"121","01015001300","Census Tract 13"," Calhoun County"," Alabama",98,86,95,72,99,92
"122","01015001400","Census Tract 14"," Calhoun County"," Alabama",89,73,88,60,92,78
"123","01015001501","Census Tract 15.01"," Calhoun County"," Alabama",82,69,75,82,83,76
"124","01015001502","Census Tract 15.02"," Calhoun County"," Alabama",62,56,76,45,73,64
"125","01015001600","Census Tract 16"," Calhoun County"," Alabama",90,74,84,62,97,76
"126","01015001700","Census Tract 17"," Calhoun County"," Alabama",60,57,61,64,76,71
"127","01015001801","Census Tract 18.01"," Calhoun County"," Alabama",89,76,82,67,81,87
"128","01015001802","Census Tract 18.02"," Calhoun County"," Alabama",68,48,55,30,78,51
"129","01015002001","Census Tract 20.01"," Calhoun County"," Alabama",40,29,45,34,60,31
"130","01015002002","Census Tract 20.02"," Calhoun County"," Alabama",67,24,59,22,65,38
"131","01015002101","Census Tract 21.01"," Calhoun County"," Alabama",90,94,98,79,97,93
"132","01015002102","Census Tract 21.02"," Calhoun County"," Alabama",35,48,54,31,70,47
"133","01015002104","Census Tract 21.04"," Calhoun County"," Alabama",67,83,76,79,77,79
"134","01015002105","Census Tract 21.05"," Calhoun County"," Alabama",77,84,88,66,79,77
"135","01015002200","Census Tract 22"," Calhoun County"," Alabama",83,57,80,54,85,66
"136","01015002300","Census Tract 23"," Calhoun County"," Alabama",70,77,80,52,92,67
"137","01015002400","Census Tract 24"," Calhoun County"," Alabama",74,54,72,39,84,62
"138","01015002502","Census Tract 25.02"," Calhoun County"," Alabama",68,61,73,72,73,59
"139","01015002503","Census Tract 25.03"," Calhoun County"," Alabama",41,33,38,33,66,22
"140","01015002504","Census Tract 25.04"," Calhoun County"," Alabama",55,33,51,14,75,63
"141","01015002600","Census Tract 26"," Calhoun County"," Alabama",79,64,70,64,69,71
"142","01017953800","Census Tract 9538"," Chambers County"," Alabama",80,60,87,44,86,65
"143","01017953900","Census Tract 9539"," Chambers County"," Alabama",85,91,85,95,86,79
"144","01017954001","Census Tract 9540.01"," Chambers County"," Alabama",68,29,63,40,72,30
"145","01017954002","Census Tract 9540.02"," Chambers County"," Alabama",89,81,91,95,85,82
"146","01017954200","Census Tract 9542"," Chambers County"," Alabama",73,38,68,36,85,38
"147","01017954300","Census Tract 9543"," Chambers County"," Alabama",65,73,75,67,87,60
"148","01017954600","Census Tract 9546"," Chambers County"," Alabama",71,54,81,70,88,67
"149","01017954700","Census Tract 9547"," Chambers County"," Alabama",68,80,80,68,77,75
"150","01017954800","Census Tract 9548"," Chambers County"," Alabama",87,81,88,86,91,79
"151","01019955701","Census Tract 9557.01"," Cherokee County"," Alabama",79,68,83,61,76,65
"152","01019955702","Census Tract 9557.02"," Cherokee County"," Alabama",85,57,79,37,89,58
"153","01019955801","Census Tract 9558.01"," Cherokee County"," Alabama",66,51,79,49,88,59
"154","01019955802","Census Tract 9558.02"," Cherokee County"," Alabama",69,58,76,52,74,52
"155","01019955900","Census Tract 9559"," Cherokee County"," Alabama",65,51,63,33,72,53
"156","01019956000","Census Tract 9560"," Cherokee County"," Alabama",68,53,76,71,68,55
"157","01019956101","Census Tract 9561.01"," Cherokee County"," Alabama",78,50,85,16,81,59
"158","01019956102","Census Tract 9561.02"," Cherokee County"," Alabama",81,59,84,55,87,71
"159","01021060101","Census Tract 601.01"," Chilton County"," Alabama",78,74,79,73,76,72
"160","01021060103","Census Tract 601.03"," Chilton County"," Alabama",75,60,72,53,70,69
"161","01021060104","Census Tract 601.04"," Chilton County"," Alabama",65,71,65,68,75,51
"162","01021060200","Census Tract 602"," Chilton County"," Alabama",76,36,53,25,73,41
"163","01021060300","Census Tract 603"," Chilton County"," Alabama",74,52,72,28,76,53
"164","01021060401","Census Tract 604.01"," Chilton County"," Alabama",64,45,57,36,71,43
"165","01021060403","Census Tract 604.03"," Chilton County"," Alabama",92,61,71,64,81,70
"166","01021060404","Census Tract 604.04"," Chilton County"," Alabama",91,64,76,62,90,66
"167","01021060500","Census Tract 605"," Chilton County"," Alabama",71,63,84,53,82,64
"168","01021060600","Census Tract 606"," Chilton County"," Alabama",75,52,73,57,71,46
"169","01021060701","Census Tract 607.01"," Chilton County"," Alabama",81,70,82,56,77,78
"170","01021060702","Census Tract 607.02"," Chilton County"," Alabama",88,58,84,45,92,63
"171","01023956700","Census Tract 9567"," Choctaw County"," Alabama",81,69,85,86,95,78
"172","01023956800","Census Tract 9568"," Choctaw County"," Alabama",72,64,86,76,86,69
"173","01023956900","Census Tract 9569"," Choctaw County"," Alabama",86,76,89,67,90,73
"174","01023957000","Census Tract 9570"," Choctaw County"," Alabama",79,55,81,35,90,59
"175","01025957500","Census Tract 9575"," Clarke County"," Alabama",61,63,80,36,87,48
"176","01025957601","Census Tract 9576.01"," Clarke County"," Alabama",79,66,84,57,81,68
"177","01025957603","Census Tract 9576.03"," Clarke County"," Alabama",50,60,65,56,68,72
"178","01025957604","Census Tract 9576.04"," Clarke County"," Alabama",79,75,78,82,72,80
"179","01025957700","Census Tract 9577"," Clarke County"," Alabama",97,63,93,64,99,88
"180","01025957800","Census Tract 9578"," Clarke County"," Alabama",88,77,86,82,87,81
"181","01025957901","Census Tract 9579.01"," Clarke County"," Alabama",75,81,72,79,69,83
"182","01025957902","Census Tract 9579.02"," Clarke County"," Alabama",90,79,83,85,84,81
"183","01025958003","Census Tract 9580.03"," Clarke County"," Alabama",96,92,93,84,95,94
"184","01027958900","Census Tract 9589"," Clay County"," Alabama",77,66,83,76,79,70
"185","01027959000","Census Tract 9590"," Clay County"," Alabama",90,91,95,89,89,86
"186","01027959100","Census Tract 9591"," Clay County"," Alabama",65,54,67,31,78,48
"187","01027959200","Census Tract 9592"," Clay County"," Alabama",73,38,68,32,80,46
"188","01029959500","Census Tract 9595"," Cleburne County"," Alabama",88,67,90,72,91,76
"189","01029959600","Census Tract 9596"," Cleburne County"," Alabama",57,74,75,75,75,65
"190","01029959700","Census Tract 9597"," Cleburne County"," Alabama",84,52,83,41,85,59
"191","01029959800","Census Tract 9598"," Cleburne County"," Alabama",67,50,72,37,79,40
"192","01031010100","Census Tract 101"," Coffee County"," Alabama",78,81,84,54,92,75
"193","01031010200","Census Tract 102"," Coffee County"," Alabama",73,62,72,40,77,55
"194","01031010300","Census Tract 103"," Coffee County"," Alabama",55,55,55,64,69,47
"195","01031010400","Census Tract 104"," Coffee County"," Alabama",85,67,87,61,94,70
"196","01031010500","Census Tract 105"," Coffee County"," Alabama",85,60,82,73,93,68
"197","01031010600","Census Tract 106"," Coffee County"," Alabama",90,68,82,53,93,71
"198","01031010700","Census Tract 107"," Coffee County"," Alabama",68,43,68,33,79,44
"199","01031010800","Census Tract 108"," Coffee County"," Alabama",35,12,37,15,50,15
"200","01031010900","Census Tract 109"," Coffee County"," Alabama",66,83,78,80,73,68
"201","01031011000","Census Tract 110"," Coffee County"," Alabama",77,82,89,85,78,75
"202","01031011100","Census Tract 111"," Coffee County"," Alabama",76,82,79,71,75,73
"203","01031011203","Census Tract 112.03"," Coffee County"," Alabama",41,31,53,38,65,32
"204","01031011204","Census Tract 112.04"," Coffee County"," Alabama",18,7,19,9,31,14
"205","01031011205","Census Tract 112.05"," Coffee County"," Alabama",65,71,52,71,60,58
"206","01031011206","Census Tract 112.06"," Coffee County"," Alabama",66,60,55,56,77,54
"207","01031011300","Census Tract 113"," Coffee County"," Alabama",92,97,96,98,85,92
"208","01033020100","Census Tract 201"," Colbert County"," Alabama",76,81,88,71,88,80
"209","01033020200","Census Tract 202"," Colbert County"," Alabama",73,77,84,78,91,65
"210","01033020300","Census Tract 203"," Colbert County"," Alabama",86,93,97,72,100,90
"211","01033020400","Census Tract 204"," Colbert County"," Alabama",38,4,34,4,66,17
"212","01033020500","Census Tract 205"," Colbert County"," Alabama",52,70,73,64,79,48
"213","01033020600","Census Tract 206"," Colbert County"," Alabama",68,72,75,65,74,65
"214","01033020703","Census Tract 207.03"," Colbert County"," Alabama",56,39,52,48,64,34
"215","01033020704","Census Tract 207.04"," Colbert County"," Alabama",45,32,52,29,73,52
"216","01033020705","Census Tract 207.05"," Colbert County"," Alabama",65,50,63,35,84,37
"217","01033020706","Census Tract 207.06"," Colbert County"," Alabama",53,56,48,65,52,47
"218","01033020801","Census Tract 208.01"," Colbert County"," Alabama",58,54,69,37,78,57
"219","01033020802","Census Tract 208.02"," Colbert County"," Alabama",86,59,86,43,90,61
"220","01033020901","Census Tract 209.01"," Colbert County"," Alabama",66,63,72,37,79,57
"221","01033020902","Census Tract 209.02"," Colbert County"," Alabama",62,59,72,69,78,57
"222","01033021000","Census Tract 210"," Colbert County"," Alabama",82,79,86,53,91,79
"223","01035960200","Census Tract 9602"," Conecuh County"," Alabama",62,52,85,42,91,50
"224","01035960300","Census Tract 9603"," Conecuh County"," Alabama",75,47,83,29,87,54
"225","01035960400","Census Tract 9604"," Conecuh County"," Alabama",80,60,88,53,94,61
"226","01035960500","Census Tract 9605"," Conecuh County"," Alabama",72,76,86,74,91,72
"227","01035960600","Census Tract 9606"," Conecuh County"," Alabama",68,73,91,73,95,74
"228","01037961000","Census Tract 9610"," Coosa County"," Alabama",79,81,86,76,93,71
"229","01037961100","Census Tract 9611"," Coosa County"," Alabama",78,34,70,32,86,42
"230","01037961200","Census Tract 9612"," Coosa County"," Alabama",69,37,69,60,81,51
"231","01039961600","Census Tract 9616"," Covington County"," Alabama",52,54,66,27,72,47
"232","01039961700","Census Tract 9617"," Covington County"," Alabama",77,62,84,52,92,67
"233","01039961800","Census Tract 9618"," Covington County"," Alabama",79,91,93,92,90,86
"234","01039961900","Census Tract 9619"," Covington County"," Alabama",81,51,69,63,76,68
"235","01039962000","Census Tract 9620"," Covington County"," Alabama",68,88,81,80,82,78
"236","01039962100","Census Tract 9621"," Covington County"," Alabama",90,86,88,89,88,88
"237","01039962300","Census Tract 9623"," Covington County"," Alabama",54,51,68,30,71,51
"238","01039962400","Census Tract 9624"," Covington County"," Alabama",62,57,75,55,80,55
"239","01039962500","Census Tract 9625"," Covington County"," Alabama",85,65,92,63,93,60
"240","01039962600","Census Tract 9626"," Covington County"," Alabama",88,68,84,55,93,79
"241","01039962700","Census Tract 9627"," Covington County"," Alabama",85,89,93,74,96,87
"242","01039962800","Census Tract 9628"," Covington County"," Alabama",84,41,84,32,91,51
"243","01039962900","Census Tract 9629"," Covington County"," Alabama",45,26,51,20,73,33
"244","01039963000","Census Tract 9630"," Covington County"," Alabama",80,78,89,71,89,73
"245","01041963400","Census Tract 9634"," Crenshaw County"," Alabama",76,67,86,61,89,70
"246","01041963500","Census Tract 9635"," Crenshaw County"," Alabama",91,62,85,51,91,79
"247","01041963600","Census Tract 9636"," Crenshaw County"," Alabama",76,48,82,64,90,53
"248","01041963700","Census Tract 9637"," Crenshaw County"," Alabama",80,68,76,72,74,61
"249","01041963800","Census Tract 9638"," Crenshaw County"," Alabama",71,64,85,48,92,71
"250","01041963900","Census Tract 9639"," Crenshaw County"," Alabama",86,80,93,67,97,84
"251","01043964100","Census Tract 9641"," Cullman County"," Alabama",84,60,83,52,83,66
"252","01043964201","Census Tract 9642.01"," Cullman County"," Alabama",78,37,65,43,77,52
"253","01043964202","Census Tract 9642.02"," Cullman County"," Alabama",61,57,71,40,74,52
"254","01043964300","Census Tract 9643"," Cullman County"," Alabama",62,45,58,45,70,41
"255","01043964400","Census Tract 9644"," Cullman County"," Alabama",60,48,62,40,69,44
"256","01043964500","Census Tract 9645"," Cullman County"," Alabama",51,42,65,19,69,43
"257","01043964600","Census Tract 9646"," Cullman County"," Alabama",64,39,59,39,70,37
"258","01043964700","Census Tract 9647"," Cullman County"," Alabama",81,46,66,54,75,49
"259","01043964800","Census Tract 9648"," Cullman County"," Alabama",57,62,71,54,67,58
"260","01043964901","Census Tract 9649.01"," Cullman County"," Alabama",37,49,45,20,63,17
"261","01043964902","Census Tract 9649.02"," Cullman County"," Alabama",60,50,61,70,57,45
"262","01043965001","Census Tract 9650.01"," Cullman County"," Alabama",35,40,48,17,57,21
"263","01043965002","Census Tract 9650.02"," Cullman County"," Alabama",69,85,87,75,75,84
"264","01043965100","Census Tract 9651"," Cullman County"," Alabama",59,46,54,33,61,34
"265","01043965200","Census Tract 9652"," Cullman County"," Alabama",65,39,62,57,70,49
"266","01043965300","Census Tract 9653"," Cullman County"," Alabama",83,76,85,78,79,73
"267","01043965401","Census Tract 9654.01"," Cullman County"," Alabama",91,88,93,85,86,82
"268","01043965402","Census Tract 9654.02"," Cullman County"," Alabama",88,54,80,62,86,73
"269","01043965501","Census Tract 9655.01"," Cullman County"," Alabama",79,56,74,34,83,63
"270","01043965502","Census Tract 9655.02"," Cullman County"," Alabama",60,37,52,51,70,54
"271","01043965600","Census Tract 9656"," Cullman County"," Alabama",54,41,57,35,67,37
"272","01043965700","Census Tract 9657"," Cullman County"," Alabama",83,40,69,58,77,57
"273","01045020000","Census Tract 200"," Dale County"," Alabama",52,50,45,30,79,56
"274","01045020100","Census Tract 201"," Dale County"," Alabama",75,65,83,53,84,62
"275","01045020200","Census Tract 202"," Dale County"," Alabama",67,62,79,50,88,56
"276","01045020300","Census Tract 203"," Dale County"," Alabama",84,51,72,49,79,78
"277","01045020400","Census Tract 204"," Dale County"," Alabama",54,23,55,49,75,45
"278","01045020500","Census Tract 205"," Dale County"," Alabama",77,88,88,79,82,83
"279","01045020700","Census Tract 207"," Dale County"," Alabama",96,89,96,91,93,95
"280","01045020801","Census Tract 208.01"," Dale County"," Alabama",85,78,82,80,86,82
"281","01045020802","Census Tract 208.02"," Dale County"," Alabama",76,66,80,75,80,69
"282","01045021101","Census Tract 211.01"," Dale County"," Alabama",75,41,57,46,74,51
"283","01045021102","Census Tract 211.02"," Dale County"," Alabama",69,84,82,86,90,78
"284","01045021200","Census Tract 212"," Dale County"," Alabama",76,67,71,58,84,65
"285","01045021300","Census Tract 213"," Dale County"," Alabama",55,49,60,37,77,47
"286","01045021400","Census Tract 214"," Dale County"," Alabama",92,91,90,90,92,84
"287","01047956101","Census Tract 9561.01"," Dallas County"," Alabama",72,72,82,74,92,77
"288","01047956102","Census Tract 9561.02"," Dallas County"," Alabama",47,62,75,44,84,58
"289","01047956201","Census Tract 9562.01"," Dallas County"," Alabama",81,58,77,44,90,77
"290","01047956202","Census Tract 9562.02"," Dallas County"," Alabama",66,72,79,56,83,60
"291","01047956300","Census Tract 9563"," Dallas County"," Alabama",89,89,92,78,95,92
"292","01047956400","Census Tract 9564"," Dallas County"," Alabama",93,98,99,97,100,97
"293","01047956500","Census Tract 9565"," Dallas County"," Alabama",99,97,100,93,100,99
"294","01047956600","Census Tract 9566"," Dallas County"," Alabama",82,85,92,89,95,84
"295","01047956701","Census Tract 9567.01"," Dallas County"," Alabama",47,54,50,41,82,48
"296","01047956702","Census Tract 9567.02"," Dallas County"," Alabama",82,66,82,45,88,88
"297","01047956800","Census Tract 9568"," Dallas County"," Alabama",72,79,77,77,90,71
"298","01047956900","Census Tract 9569"," Dallas County"," Alabama",91,90,98,81,98,94
"299","01047957000","Census Tract 9570"," Dallas County"," Alabama",95,64,95,90,96,92
"300","01047957100","Census Tract 9571"," Dallas County"," Alabama",86,83,94,76,90,93
"301","01047957200","Census Tract 9572"," Dallas County"," Alabama",72,35,81,35,98,58
"302","01047957301","Census Tract 9573.01"," Dallas County"," Alabama",88,91,99,74,100,94
"303","01047957302","Census Tract 9573.02"," Dallas County"," Alabama",82,38,75,51,81,52
"304","01049960101","Census Tract 9601.01"," DeKalb County"," Alabama",85,76,88,39,85,67
"305","01049960102","Census Tract 9601.02"," DeKalb County"," Alabama",93,58,85,63,81,76
"306","01049960200","Census Tract 9602"," DeKalb County"," Alabama",83,71,85,68,87,73
"307","01049960301","Census Tract 9603.01"," DeKalb County"," Alabama",78,29,71,32,92,52
"308","01049960302","Census Tract 9603.02"," DeKalb County"," Alabama",72,62,76,65,82,58
"309","01049960303","Census Tract 9603.03"," DeKalb County"," Alabama",70,72,76,64,76,63
"310","01049960401","Census Tract 9604.01"," DeKalb County"," Alabama",68,58,70,33,83,58
"311","01049960402","Census Tract 9604.02"," DeKalb County"," Alabama",57,50,59,50,64,51
"312","01049960500","Census Tract 9605"," DeKalb County"," Alabama",85,75,87,74,89,72
"313","01049960601","Census Tract 9606.01"," DeKalb County"," Alabama",66,63,80,29,77,50
"314","01049960602","Census Tract 9606.02"," DeKalb County"," Alabama",87,76,87,53,89,69
"315","01049960701","Census Tract 9607.01"," DeKalb County"," Alabama",96,81,95,82,95,89
"316","01049960702","Census Tract 9607.02"," DeKalb County"," Alabama",74,64,77,22,52,54
"317","01049960703","Census Tract 9607.03"," DeKalb County"," Alabama",90,79,85,65,90,70
"318","01049960800","Census Tract 9608"," DeKalb County"," Alabama",92,82,94,87,96,84
"319","01049960900","Census Tract 9609"," DeKalb County"," Alabama",88,79,87,78,94,74
"320","01049961000","Census Tract 9610"," DeKalb County"," Alabama",87,64,78,67,80,72
"321","01049961100","Census Tract 9611"," DeKalb County"," Alabama",85,80,88,81,84,73
"322","01049961200","Census Tract 9612"," DeKalb County"," Alabama",42,24,40,47,58,34
"323","01049961300","Census Tract 9613"," DeKalb County"," Alabama",81,82,93,85,88,78
"324","01049961400","Census Tract 9614"," DeKalb County"," Alabama",78,68,85,66,91,64
"325","01051030101","Census Tract 301.01"," Elmore County"," Alabama",55,28,50,26,66,29
"326","01051030102","Census Tract 301.02"," Elmore County"," Alabama",42,22,56,16,64,29
